what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1481753626398
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1481753626920
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1481753628548
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1481753628549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753628574
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753628668
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1481753630354
started,bundle,org.eclipse.wst.jsdt.core,1.1.8.v201109150205,"org.eclipse.wst.jsdt.core",1481753630475
started,bundle,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui",1481753630529
closed,editor,org.eclipse.bpel.apache.ode.deploy.ui,0.8.0.201509221212,"org.eclipse.bpel.apache.ode.deploy.ui.editors.ODEDeployMultiPageEditor",1481753630946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753631114
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1481753631199
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1481753631199
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753636713
opened,editor,org.eclipse.bpel.apache.ode.deploy.ui,0.8.0.201509221212,"org.eclipse.bpel.apache.ode.deploy.ui.editors.ODEDeployMultiPageEditor",1481753640879
activated,editor,org.eclipse.bpel.apache.ode.deploy.ui,0.8.0.201509221212,"org.eclipse.bpel.apache.ode.deploy.ui.editors.ODEDeployMultiPageEditor",1481753640897
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753641096
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1481753641107
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1481753641205
activated,editor,org.eclipse.bpel.apache.ode.deploy.ui,0.8.0.201509221212,"org.eclipse.bpel.apache.ode.deploy.ui.editors.ODEDeployMultiPageEditor",1481753647291
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753648488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753653264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753654936
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753659663
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753662533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753672126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753679244
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753682191
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753683701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753685632
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753687144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753689271
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753691049
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481753693053
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1481753694131
